Município,Luminosidade
NOVA EUROPA,272
CONCHAS,272
TACIBA,265
VARGEM,259
CARDOSO,258
IBIRAREMA,258
PIRATININGA,256
GUAPIAÇU,245
PEDRA BELA,244
SANTO ANTÔNIO DO PINHAL,243
PRESIDENTE BERNARDES,240
GAVIÃO PEIXOTO,240
JACI,240
IPERÓ,240
MARACAÍ,237
BÁLSAMO,236
TIMBURI,232
SANTA ADÉLIA,228
BOM SUCESSO DE ITARARÉ,225
SEVERÍNIA,224
CESÁRIO LANGE,224
REDENÇÃO DA SERRA,223
CRISTAIS PAULISTA,217
ITATINGA,216
SÃO SEBASTIÃO DA GRAMA,216
QUINTANA,216
CANAS,212
ORINDIÚVA,209
SALESÓPOLIS,208
BOA ESPERANÇA DO SUL,208
PIRANGI,208
TUPI PAULISTA,208
TARUMÃ,208
MANDURI,208
SANDOVALINA,203
SANTA CLARA D'OESTE,201
SALTINHO,197
POTIM,192
AURIFLAMA,192
TABATINGA,192
TABAPUÃ,192
NUPORANGA,192
PARIQUERA-AÇU,192
BERNARDINO DE CAMPOS,192
CAFELÂNDIA,188
PACAEMBU,188
OUROESTE,187
PARAPUÃ,184
INDIAPORÃ,181
PARDINHO,180
MIRA ESTRELA,180
TAGUAÍ,176
PINHALZINHO,176
URÂNIA,173
SANTA ALBERTINA,172
ITAPUÍ,160
DUMONT,160
MINEIROS DO TIETÊ,160
NEVES PAULISTA,160
GUZOLÂNDIA,160
LINDÓIA,160
ELISIÁRIO,159
ÁGUAS DE SÃO PEDRO,157
NATIVIDADE DA SERRA,153
NANTES,151
RAFARD,148
SANTO ANTÔNIO DE POSSE,144
IACRI,144
FLÓRIDA PAULISTA,144
HERCULÂNDIA,140
ARAMINA,138
CÁSSIA DOS COQUEIROS,137
DOURADO,128
BURITAMA,128
PIRAPORA DO BOM JESUS,128
ICÉM,127
DIVINOLÂNDIA,126
GÁLIA,124
PEDRINHAS PAULISTA,120
ESTIVA GERBI,117
AVANHANDAVA,112
OURO VERDE,112
GETULINA,112
ITAJOBI,112
RINCÃO,112
PIACATU,112
ENGENHEIRO COELHO,108
IARAS,108
GUAIÇARA,102
BARRA DO CHAPÉU,101
ALAMBARI,99
CLEMENTINA,96
TAQUARIVAÍ,96
ANALÂNDIA,96
RINÓPOLIS,96
LUIZIÂNIA,96
SANTA ERNESTINA,96
REGINÓPOLIS,96
PALESTINA,96
TERRA ROXA,96
IRAPUÃ,96
MONTE ALEGRE DO SUL,89
SANTO ANTÔNIO DO ARACANGUÁ,86
MESÓPOLIS,82
MERIDIANO,80
BOREBI,80
LAVÍNIA,80
SANTA BRANCA,80
VISTA ALEGRE DO ALTO,80
IRAPURU,80
SÃO LUÍS DO PARAITINGA,80
COROADOS,77
FERNANDO PRESTES,76
PRATÂNIA,73
CATIGUÁ,72
AREIÓPOLIS,70
JABORANDI,70
ÁGUAS DE SANTA BÁRBARA,68
ITAPURA,68
TRABIJU,64
SALES,64
JOÃO RAMALHO,64
GUAREÍ,64
BIRITIBA-MIRIM,64
ANHEMBI,64
MENDONÇA,64
NOVA ALIANÇA,64
IPEÚNA,64
UCHOA,64
INÚBIA PAULISTA,64
RIBEIRÃO DOS ÍNDIOS,64
CAIUÁ,60
SANTA RITA D'OESTE,56
PALMARES PAULISTA,51
QUEIROZ,48
NHANDEARA,48
LUCIANÓPOLIS,48
ESPÍRITO SANTO DO TURVO,48
ORIENTE,48
LAGOINHA,48
ESTRELA D'OESTE,48
DOBRADA,48
TORRINHA,48
GUARAÇAÍ,48
ARCO-ÍRIS,48
SANTA CRUZ DA CONCEIÇÃO,48
ITAJU,48
RIBEIRÃO BONITO,48
ALFREDO MARCONDES,48
BOFETE,48
SANTO EXPEDITO,48
GUATAPARÁ,40
SUD MENNUCCI,32
ÁLVARO DE CARVALHO,32
BURITIZAL,32
ALVINLÂNDIA,32
GENERAL SALGADO,32
SÃO PEDRO DO TURVO,32
BORACÉIA,32
TARABAI,32
GABRIEL MONTEIRO,32
EMILIANÓPOLIS,32
COSMORAMA,32
TRÊS FRONTEIRAS,32
SANTA MARIA DA SERRA,32
PIQUEROBI,32
SALMOURÃO,32
